Start date,end date,Pal Total Killed,Pal Total injured,Isr Total killed,Isr Total injured,,,,
Oct 7 2023,Oct 13 2023,"1,029","2,500","1,400","5,431",,,,
Oct 14 2023,Oct 20 2023,"1,400","5,911",0,0,,,,
Oct 21 2023,Oct 27 2023,"2,000","6,681",0,0,,,,
Oct 28 2023,Nov 3 2023,"4,632","7,839",0,0,,,,
Nov 4 2023,Nov 10 2023,"1,757","3,974",0,0,,,,
Nov 11 2023,Nov 17 2023,260,585,0,0,,,,
Nov 18 2023,Nov 24 2023,"3,422","7,510",0,0,,,,
Nov 25 2023,Dec 1 2023,300,"1,000",0,0,,,,
Dec 2 2023,Dec 8 2023,"1,448","7,616",0,0,,,,
Dec 9 2023,Dec 15 2023,"2,164","6,484",0,0,,,,
Dec 16 2023,Dec 22 2023,"1,255","2,486",0,0,,,,
Dec 23 2023,Dec 29 2023,"1,443","1,102",0,0,,,,
Dec 30 2023,Jan 5 2024,"1,075","3,347",0,0,,,,
Jan 6 2024,Jan 12 2024,"1,284","2,569",0,0,,,,
Jan 13 2024,Jan 19 2024,"1,151","2,226",0,0,,,,
Jan 20 2024,Jan 26 2024,"1,280","2,280",0,0,,,,
Jan 27 2024,Feb 2 2024,851,"1,526",0,0,,,,
Feb 3 2024,Feb 9 2024,957,"1,511",0,0,,,,
Feb 10 2024,Feb 16 2024,765,"1,999",0,0,,,,
Feb 17 2024,Feb 23 2024,"1,041",470,0,0,,,,
Feb 24 2024,Mar 1 2024,268,427,0,0,,,,
Mar 2 2024,Mar 8 2024,446,"1,334",0,0,,,,
Mar 9 2024,Mar 15 2024,"1,113","1,757",0,0,,,,
Mar 16 2024,Mar 22 2024,478,800,0,0,,,,
Mar 23 2024,Mar 29 2024,804,"1,158",0,0,,,,
Mar 30 2024,Apr 5 2024,292,421,0,0,,,,
Apr 6 2024,Apr 12 2024,292,420,0,0,,,,
Apr 13 2024,Apr 19 2024,692,731,0,0,,,,
Apr 20 2024,Apr 26 2024,363,565,0,0,,,,
Apr 27 2024,May 3 2024,360,638,0,0,,,,
May 4 2024,May 10 2024,113,241,0,0,,,,
May 11 2024,May 17 2024,498,"1,033",0,0,,,,
May 18 2024,May 24 2024,70,120,0,0,,,,
May 25 2024,May 31 2024,747,"1,765",0,0,,,,
Jun 1 2024,Jun 7 2024,536,"2,048",0,0,,,,
Jun 8 2024,Jun 14 2024,616,"1,858",0,0,,,,
Jun 15 2024,Jun 21 2024,194,591,0,0,,,,
Jun 22 2024,Jun 28 2024,279,871,0,0,,,,
Jun 29 2024,Jul 5 2024,279,872,0,0,,,,
Jul 6 2024,Jul 12 2024,342,975,0,0,,,,
Jul 13 2024,Jul 19 2024,383,944,0,0,,,,
Jul 20 2024,Jul 26 2024,383,944,0,0,,,,
Jul 27 2024,Aug 2 2024,383,944,0,0,,,,
Aug 3 2024,Aug 9 2024,232,572,0,0,,,,
Aug 10 2024,Aug 16 2024,269,656,0,0,,,,
Aug 17 2024,Aug 23 2024,269,656,0,0,,,,
Aug 24 2024,Aug 30 2024,269,656,0,0,,,,
Aug 31 2024,Sep 6 2024,269,656,0,0,,,,
Sep 7 2024,Sep 13 2024,269,656,0,0,,,,
Sep 14 2024,Sep 20 2024,252,626,0,0,,,,
Sep 21 2024,Sep 27 2024,209,537,0,0,,,,
Sep 28 2024,Oct 4 2024,209,537,0,0,,,,
Oct 5 2024,Oct 11 2024,321,"1,095",0,0,,,,